"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"48","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","24","280","100","50","0","2000","35","28","24","1490","875","1350"
"50","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","270","80","50","0","2000","16","40","29","1015","1875","1425"
"54","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","280","80","50","0","2000","38","22","21","1815","1260","880"
"52","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","270","100","50","0","2000","36","23","36","1385","885","1370"
"49","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","270","80","50","0","2000","27","50","28","1895","1955","1645"
"51","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","270","100","50","0","2000","45","45","39","1970","2650","1700"
"55","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","280","100","50","0","2000","46","41","13","2535","1715","710"
"53","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","280","80","50","0","2000","34","44","32","2015","1905","1560"
"56","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","36","280","100","50","0","2000","23","45","44","1015","2120","1305"
"57","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","270","80","50","0","2000","25","32","50","1360","1615","2080"
"61","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","280","80","50","0","2000","47","38","36","2810","1910","1550"
"63","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","280","100","50","0","2000","43","24","12","1890","1240","475"
"62","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","280","80","50","0","2000","44","21","34","1935","1310","1595"
"60","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","270","100","50","0","2000","28","28","17","1970","1160","930"
"58","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","270","80","50","0","2000","43","28","29","1605","1405","1670"
"59","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","270","100","50","0","2000","40","40","39","2065","2010","1550"
"64","0","15","false","2","150","220","false","25","false","6","6","5","45","500","false","48","280","100","50","0","2000","40","24","37","2710","1055","1395"
"69","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","280","80","50","0","1601","27","23","9","1405","900","540"
"65","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","270","80","50","0","2000","24","19","11","1270","965","875"
"66","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","270","80","50","0","1810","34","9","19","1765","1000","905"
"67","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","270","100","50","0","2000","17","37","17","855","2730","890"
"70","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","280","80","50","0","2000","11","27","28","645","1330","1355"
"68","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","270","100","50","0","2000","37","10","33","2080","695","1350"
"72","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","280","100","50","0","2000","22","19","17","1065","920","625"
"71","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","12","280","100","50","0","2000","34","33","12","2055","2055","375"
"75","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","270","100","50","0","1679","33","9","25","1680","645","1335"
"77","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","280","80","50","0","1729","24","35","9","940","1690","760"
