"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Experiment1"
"08/19/2022 19:35:49:613 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","spawnChance","spawnRate","witherRate","nutrition","nEnergy","week","initFood","startingCount","nAntlions","nSpiders","spiderStability","antWars","nTrees","nFlowers","nBushes","nPrey","showPS","showPF","showPA","[step]","count workers","food1Total","storedFoodTEST","spiderKills","lionKills","energyKills"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","0","40","0","0","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","0","40","0","0","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","0","40","0","0","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","1","40","0","467","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","1","40","0","465","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","1","40","0","468","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","2","42","0","457","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","2","41","0","456","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","2","43","0","453","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","3","41","0","451","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","3","43","0","447","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","4","41","0","451","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","3","42","0","455","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","4","43","0","447","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","5","41","0","451","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","4","42","0","449","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","5","43","0","447","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","6","41","0","451","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","5","42","0","443","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","6","43","25","447","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","7","43","30","447","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","6","42","10","443","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","8","43","35","447","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","7","41","0","451","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","9","43","35","450","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","8","41","0","451","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","7","42","40","451","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","9","40","0","451","0","1","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","10","43","40","459","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","10","39","0","451","0","2","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","8","42","40","451","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","11","43","40","468","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","9","42","40","451","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","11","38","0","451","0","3","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","10","42","40","451","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","12","38","0","451","0","3","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","11","42","45","451","0","0","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","12","43","50","468","0","0","0"
"3","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","13","38","0","451","0","3","0"
"1","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","13","43","50","468","0","0","0"
"2","20","2.5","5","230","280","85","500","40","7","7","150","35","25","50","15","25","false","false","false","12","42","45","463","0","0","0"
