"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline"
"08/18/2022 08:57:31:793 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"35","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","1","10","2000","102","2200","10","1","3","5"
"36","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","1","10","2000","47","1985","18","1","3","5"
"52","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","10","10","525","48","2130","2007","1","3","5"
"18","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","10","2000","348","7860","387","1","3","5"
"66","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","2","564","48","2025","2006","1","3","5"
"67","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","6","619","48","2040","2001","1","3","5"
"68","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","6","773","48","2145","2001","1","3","5"
"65","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","2","641","48","2060","2005","1","3","5"
"64","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","2","850","47","2220","2010","1","3","5"
"69","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","6","687","47","2015","2006","1","3","5"
"70","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","10","651","48","2085","2002","1","3","5"
"72","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","10","595","48","2035","2012","1","3","5"
"71","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","5","10","626","48","2015","2003","1","3","5"
"73","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","2","497","40","1970","2012","1","3","5"
"75","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","2","442","40","1950","2004","1","3","5"
"78","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","6","393","40","1940","2004","1","3","5"
"74","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","2","491","40","1990","2004","1","3","5"
"77","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","6","467","40","2025","2010","1","3","5"
"59","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","6","2000","65","2225","765","1","3","5"
"63","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","10","2000","62","2185","608","1","3","5"
"76","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","6","523","40","2050","2017","1","3","5"
"79","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","10","516","40","1965","2011","1","3","5"
"55","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","2","2000","62","2330","786","1","3","5"
"60","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","6","2000","66","2540","897","1","3","5"
"61","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","10","2000","63","2305","729","1","3","5"
"80","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","10","521","40","2015","2008","1","3","5"
"56","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","2","2000","58","1750","245","1","3","5"
"57","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","2","2000","59","1765","247","1","3","5"
"81","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","10","10","435","40","1945","2002","1","3","5"
"58","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","6","2000","56","2005","422","1","3","5"
"62","25","7","100","120","false","25","false","5","2","500","40","false","150","180","35","50","15","1","10","2000","61","2095","622","1","3","5"
"86","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","6","1476","15","1260","244","1","3","5"
"82","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","2","1711","4","1415","23","1","3","5"
"85","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","6","1711","12","1475","66","1","3","5"
"84","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","2","1716","12","1320","147","1","3","5"
"93","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","2","1112","48","4175","2003","1","3","5"
"88","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","10","1716","8","1650","156","1","3","5"
"90","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","10","1716","23","1850","86","1","3","5"
"89","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","10","1716","30","1700","56","1","3","5"
"92","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","2","1540","48","5085","2005","1","3","5"
"91","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","2","1669","48","5380","2002","1","3","5"
"83","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","2","1711","4","1080","44","1","3","5"
"100","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","2","638","48","2895","2006","1","3","5"
"94","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","6","1505","48","5145","2003","1","3","5"
"87","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","1","6","1716","22","1850","49","1","3","5"
"104","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","6","534","48","2580","2009","1","3","5"
"103","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","6","690","48","2970","2008","1","3","5"
"102","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","2","708","48","3165","2004","1","3","5"
"95","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","6","1527","48","5255","2009","1","3","5"
"107","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","10","586","48","2665","2001","1","3","5"
"101","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","2","1007","48","3880","2005","1","3","5"
"106","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","10","706","48","3040","2006","1","3","5"
"105","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","6","700","48","3165","2002","1","3","5"
"98","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","10","1492","48","5155","2020","1","3","5"
"108","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","10","10","660","48","2845","2002","1","3","5"
"96","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","6","1527","48","4985","2008","1","3","5"
"97","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","10","1440","48","4895","2012","1","3","5"
"99","25","7","100","120","false","25","false","5","2","500","40","false","300","60","35","50","15","5","10","1539","48","5230","2010","1","3","5"
