"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline 2"
"08/18/2022 10:52:15:202 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"31","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","5","2000","226","6310","821","1","3","5"
"30","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","2","2000","225","5390","56","1","3","5"
"59","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","529","43","2010","2009","1","3","5"
"55","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","591","46","2065","2003","1","3","5"
"60","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","560","46","2045","2006","1","3","5"
"61","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","609","48","2030","2003","1","3","5"
"56","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","743","48","2090","2010","1","3","5"
"57","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","748","48","2140","2004","1","3","5"
"64","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","447","48","2020","2007","1","3","5"
"58","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","777","48","2115","2003","1","3","5"
"66","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","371","46","1975","2006","1","3","5"
"62","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","737","48","2110","2002","1","3","5"
"65","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","407","45","1950","2001","1","3","5"
"67","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","431","47","2005","2008","1","3","5"
"68","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","438","46","2035","2005","1","3","5"
"70","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","401","42","1990","2001","1","3","5"
"75","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","215","44","1895","2008","1","3","5"
"69","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","445","45","2030","2006","1","3","5"
"73","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","227","46","1935","2004","1","3","5"
"74","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","219","44","1975","2001","1","3","5"
"71","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","434","46","2015","2004","1","3","5"
"77","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","194","45","1885","2006","1","3","5"
"76","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","213","42","1935","2013","1","3","5"
"78","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","214","44","1905","2011","1","3","5"
"63","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","894","50","2370","2006","1","3","5"
"72","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","406","46","1965","2007","1","3","5"
"80","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","220","44","1910","2004","1","3","5"
"79","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","246","43","1950","2007","1","3","5"
"81","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","229","44","1965","2001","1","3","5"
"35","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","10","2000","221","6345","1145","1","3","5"
"36","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","10","2000","213","6605","1572","1","3","5"
"94","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","5","589","48","2995","2003","1","3","5"
"93","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","2","713","48","3405","2006","1","3","5"
"95","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","5","642","48","3240","2004","1","3","5"
"96","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","5","761","48","3555","2002","1","3","5"
"100","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","2","229","48","1895","2007","1","3","5"
"91","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","2","1021","48","4540","2004","1","3","5"
"92","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","2","1080","48","4700","2005","1","3","5"
"101","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","2","197","48","1920","2003","1","3","5"
"99","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","10","531","48","2685","2007","1","3","5"
"102","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","2","221","48","1905","2010","1","3","5"
"97","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","10","718","48","3530","2020","1","3","5"
"103","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","5","210","48","1890","2003","1","3","5"
"82","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","2","1716","28","3110","485","1","3","5"
"104","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","5","231","48","1955","2002","1","3","5"
"98","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","2","10","649","48","3095","2004","1","3","5"
"105","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","5","187","48","1910","2013","1","3","5"
"106","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","10","186","48","1885","2007","1","3","5"
"83","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","2","1716","44","3920","227","1","3","5"
"84","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","2","1716","48","4030","651","1","3","5"
"90","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","10","1656","48","5225","1433","1","3","5"
"88","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","10","1656","48","5225","1645","1","3","5"
"85","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","5","1716","48","5535","1853","1","3","5"
"107","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","10","230","48","1945","2005","1","3","5"
"108","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","10","10","233","48","1930","2009","1","3","5"
"87","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","5","1716","48","4860","1235","1","3","5"
"86","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","5","1716","48","5125","1527","1","3","5"
"89","25","1","100","100","false","25","false","5","2","500","40","false","270","60","35","50","15","1","10","1716","48","5275","1487","1","3","5"
"119","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","2","608","48","2800","2006","1","3","5"
"121","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","5","558","48","2460","2001","1","3","5"
"118","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","2","678","48","2890","2004","1","3","5"
"115","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","10","959","48","3300","2004","1","3","5"
"122","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","5","529","48","2425","2010","1","3","5"
"120","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","2","611","48","2575","2001","1","3","5"
"127","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","2","205","44","1870","2004","1","3","5"
"123","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","5","549","48","2505","2003","1","3","5"
"125","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","10","369","48","2065","2001","1","3","5"
"128","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","2","209","46","1940","2007","1","3","5"
"124","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","10","601","48","2760","2014","1","3","5"
"133","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","10","184","47","1895","2003","1","3","5"
"131","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","5","240","48","1930","2008","1","3","5"
"129","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","2","238","46","1890","2003","1","3","5"
"130","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","5","220","43","1910","2006","1","3","5"
"126","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","2","10","581","48","2750","2012","1","3","5"
"132","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","5","208","47","1870","2014","1","3","5"
"134","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","10","209","47","1935","2010","1","3","5"
"135","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","10","10","204","46","1890","2013","1","3","5"
"109","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","2","2000","48","5580","1666","1","3","5"
"142","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","10","551","46","1965","2005","1","3","5"
"110","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","2","2000","48","4765","734","1","3","5"
"111","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","2","2000","48","5235","1380","1","3","5"
"136","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","2","732","48","2070","2003","1","3","5"
"138","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","2","619","48","2005","2001","1","3","5"
"137","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","2","763","48","2060","2002","1","3","5"
"140","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","5","608","48","2035","2009","1","3","5"
"113","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","5","2000","48","5850","1783","1","3","5"
"116","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","10","1905","48","5775","2002","1","3","5"
"114","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","5","1591","48","5125","2017","1","3","5"
"145","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","2","360","42","1815","2002","1","3","5"
"146","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","2","337","46","1885","2001","1","3","5"
"147","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","2","364","45","1910","2005","1","3","5"
"141","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","5","736","48","2075","2005","1","3","5"
"150","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","5","355","42","1860","2004","1","3","5"
"139","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","5","868","48","2280","2002","1","3","5"
"148","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","5","430","48","1995","2005","1","3","5"
"152","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","10","369","42","1895","2007","1","3","5"
"149","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","5","397","46","1955","2008","1","3","5"
"117","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","10","1871","48","5835","2003","1","3","5"
"154","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","2","233","43","1940","2001","1","3","5"
"153","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","10","423","45","1960","2008","1","3","5"
"156","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","2","201","40","1825","2002","1","3","5"
