"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Baseline 3 - Plus Threats"
"08/19/2022 18:45:56:837 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"52","25","15","50","230","false","25","false","8","10","500","50","false","280","85","35","50","15","1","5","2000","3","710","10","1","3","5"
"51","25","15","50","230","false","25","false","8","10","500","40","false","280","85","35","50","15","3","5","2000","3","815","10","1","3","5"
"53","25","15","50","230","false","25","false","8","10","500","50","false","280","85","35","50","15","2","5","2000","125","1815","10","1","3","5"
"55","25","15","50","230","false","25","false","10","4","500","30","false","280","85","35","50","15","1","5","2000","19","700","10","1","3","5"
"56","25","15","50","230","false","25","false","10","4","500","30","false","280","85","35","50","15","2","5","2000","23","690","10","1","3","5"
"57","25","15","50","230","false","25","false","10","4","500","30","false","280","85","35","50","15","3","5","2000","4","540","10","1","3","5"
"54","25","15","50","230","false","25","false","8","10","500","50","false","280","85","35","50","15","3","5","2000","164","3015","820","1","3","5"
"58","25","15","50","230","false","25","false","10","4","500","40","false","280","85","35","50","15","1","5","2000","52","1060","10","1","3","5"
"59","25","15","50","230","false","25","false","10","4","500","40","false","280","85","35","50","15","2","5","2000","106","1385","10","1","3","5"
"67","25","15","50","230","false","25","false","10","8","500","40","false","280","85","35","50","15","1","5","2000","0","500","9","1","3","5"
"61","25","15","50","230","false","25","false","10","4","500","50","false","280","85","35","50","15","1","5","2000","23","890","10","1","3","5"
"65","25","15","50","230","false","25","false","10","8","500","30","false","280","85","35","50","15","2","5","2000","5","540","10","1","3","5"
